Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Surfing,2024-06-23 11:35:09,false,"Las Palmas of Gran Canaria Surfing","2.16","345","00:56:42","111","142","1.2","--","--","2.3","14.3","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:56:42","1","24.0","--","--","--","2","12","12.7","0:11.0","0.02","6.9","00:07:51","00:56:42","--","--"
Running,2024-06-21 12:23:27,false,"North Hertfordshire Running","5.12","350","00:26:52","150","165","3.1","157","176","5:15","4:33","60","63","1.19","8.7","10.1","295","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","27.0","No","00:00:39.8","6","31.0","33","17","39","--","--","--","--","--","--","00:26:46","00:26:57","66","102"
Running,2024-06-19 13:18:12,false,"North Hertfordshire Running","5.94","404","00:30:31","153","169","3.2","157","256","5:08","4:17","61","68","1.23","7.8","9.7","290","49.3% L / 50.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","24.0","No","00:04:30.5","6","30.0","33","19","40","--","--","--","--","--","--","00:29:47","00:31:40","60","96"
Running,2024-06-17 12:39:42,false,"North Hertfordshire Running","8.04","545","00:43:06","151","166","3.3","157","181","5:22","4:32","97","98","1.17","8.4","10.1","289","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:00:12.8","9","30.0","33","18","41","--","--","--","--","--","--","00:42:42","00:46:01","66","105"
Running,2024-06-16 17:15:10,false,"North Hertfordshire Running","10.18","648","00:53:14","144","176","3.2","155","174","5:14","4:08","93","94","1.21","8.1","10.0","285","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:00:51.9","11","29.0","33","15","44","--","--","--","--","--","--","00:52:45","01:06:46","58","91"
Running,2024-06-15 17:19:54,false,"North Hertfordshire - HIIT 10x 1 min 1 min","6.04","408","00:34:59","141","162","2.9","144","194","5:47","2:58","71","74","1.18","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:00:00.6","25","27.0","--","--","--","--","--","--","--","--","--","00:34:49","00:35:01","66","104"
Running,2024-06-15 17:14:35,false,"North Hertfordshire Running","0.60","34","00:03:17.4","107","128","0.7","140","173","5:31","4:19","1","9","1.29","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","27.0","No","00:00:00.9","2","30.0","--","--","--","--","--","--","--","--","--","00:03:03.9","00:04:20.5","65","77"
Cycling,2024-06-14 23:04:58,false,"North Hertfordshire Cycling","0.26","10","00:01:02.7","122","130","0.1","--","--","15.1","21.7","4","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","24.0","No","00:01:02.7","1","26.0","--","--","--","--","--","--","--","--","--","00:01:00","00:01:02.7","72","76"
Strength Training,2024-06-14 16:55:48,false,"Strength","0.00","115","00:16:54","109","133","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","12","1","27.0","No","00:16:54","1","27.0","--","--","--","--","--","--","--","--","--","00:16:54","00:16:54","--","--"
Running,2024-06-12 11:57:40,false,"North Hertfordshire Running","10.07","686","00:49:48","161","179","3.9","160","174","4:57","4:00","130","138","1.25","7.7","9.8","284","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","17.0","No","00:00:18.8","11","29.0","36","20","43","--","--","--","--","--","--","00:49:38","00:49:48","67","153"
